Frame,Right Knee,Left Knee,Right Elbow,Left Elbow,Right Hip,Left Hip,Risk
1,178,179,177,93,179,176,LOW RISK
2,178,179,101,93,179,176,LOW RISK
3,177,178,133,93,178,177,LOW RISK
4,177,175,57,103,178,177,LOW RISK
5,177,172,179,113,178,176,LOW RISK
6,175,169,174,121,178,176,LOW RISK
7,174,158,175,130,178,176,LOW RISK
8,172,149,175,135,177,177,LOW RISK
9,172,154,18,136,178,178,LOW RISK
10,173,149,17,138,178,177,LOW RISK
11,173,149,13,138,177,174,LOW RISK
12,173,151,1,138,177,175,LOW RISK
13,174,155,5,139,177,174,LOW RISK
14,174,158,17,140,177,174,LOW RISK
15,175,158,31,140,176,172,LOW RISK
16,176,162,34,143,176,173,LOW RISK
17,177,164,40,145,176,173,LOW RISK
18,177,165,51,147,176,173,LOW RISK
19,177,166,58,148,176,173,LOW RISK
20,177,168,83,153,176,175,LOW RISK
21,176,170,90,156,176,176,LOW RISK
22,175,173,96,158,176,177,LOW RISK
23,176,175,97,157,176,178,LOW RISK
24,174,176,105,156,175,179,LOW RISK
25,170,177,113,154,175,179,LOW RISK
26,172,175,123,153,177,179,LOW RISK
27,171,175,129,152,177,179,LOW RISK
28,46,174,133,148,174,179,MEDIUM RISK
29,22,174,136,143,175,179,MEDIUM RISK
30,45,175,143,143,175,177,MEDIUM RISK
31,12,177,148,138,176,176,MEDIUM RISK
32,4,178,151,138,176,176,MEDIUM RISK
33,14,178,154,129,175,176,MEDIUM RISK
34,156,179,156,116,175,176,LOW RISK
35,172,179,156,102,175,176,LOW RISK
36,175,179,157,88,174,176,LOW RISK
37,174,179,159,76,173,176,LOW RISK
38,176,179,164,72,174,175,LOW RISK
39,177,179,176,70,174,175,LOW RISK
40,178,179,179,68,175,175,LOW RISK
41,179,178,176,65,175,174,LOW RISK
42,179,178,174,67,176,174,LOW RISK
43,179,177,172,66,176,173,LOW RISK
44,179,177,173,70,176,173,LOW RISK
45,179,178,173,75,176,173,LOW RISK
46,179,179,173,81,176,174,LOW RISK
47,178,179,173,85,176,174,LOW RISK
48,179,177,173,86,175,175,LOW RISK
49,179,176,174,95,176,175,LOW RISK
50,178,176,173,103,176,175,LOW RISK
51,177,174,172,112,175,175,LOW RISK
52,178,117,174,116,177,175,LOW RISK
53,179,3,175,121,177,174,MEDIUM RISK
54,178,3,174,127,178,173,MEDIUM RISK
55,178,3,173,131,178,174,MEDIUM RISK
56,179,5,168,133,178,174,MEDIUM RISK
57,177,48,149,135,179,179,MEDIUM RISK
58,174,122,171,135,178,178,LOW RISK
59,175,135,34,135,177,175,LOW RISK
60,174,144,30,134,176,174,LOW RISK
61,176,150,22,133,177,174,LOW RISK
62,175,153,28,133,176,174,LOW RISK
63,175,155,38,134,175,173,LOW RISK
64,177,161,49,136,175,173,LOW RISK
65,179,165,58,139,177,175,LOW RISK
66,179,165,62,143,177,175,LOW RISK
67,178,166,69,145,177,175,LOW RISK
68,178,168,77,149,177,174,LOW RISK
69,179,169,88,149,177,174,LOW RISK
70,178,173,92,152,176,177,LOW RISK
71,175,176,91,152,177,178,LOW RISK
72,177,177,101,151,177,179,LOW RISK
73,164,177,116,151,179,179,LOW RISK
74,9,177,126,148,177,178,MEDIUM RISK
75,1,177,133,141,179,178,MEDIUM RISK
76,2,178,136,135,176,178,MEDIUM RISK
77,4,176,140,132,176,178,MEDIUM RISK
78,6,177,144,125,176,177,MEDIUM RISK
79,4,177,148,122,176,177,MEDIUM RISK
80,9,177,151,111,176,177,MEDIUM RISK
81,4,178,153,99,177,176,MEDIUM RISK
82,166,179,155,80,177,176,LOW RISK
83,175,179,157,62,178,175,LOW RISK
84,174,179,159,56,177,175,LOW RISK
85,175,179,162,59,176,174,LOW RISK
86,176,179,171,60,177,174,LOW RISK
87,176,179,173,60,176,175,LOW RISK
88,178,179,176,54,177,175,LOW RISK
89,179,179,178,51,177,174,LOW RISK
90,179,179,178,51,178,174,LOW RISK
91,177,179,178,52,178,174,LOW RISK
92,177,179,177,53,178,173,LOW RISK
93,176,179,177,54,179,173,LOW RISK
94,176,179,177,58,179,173,LOW RISK
95,178,177,179,59,177,174,LOW RISK
96,179,173,177,59,176,174,LOW RISK
97,179,167,177,67,176,174,LOW RISK
98,179,160,178,84,177,173,LOW RISK
99,179,23,176,90,177,172,MEDIUM RISK
100,179,64,175,97,178,171,MEDIUM RISK
101,178,58,168,106,179,170,MEDIUM RISK
102,177,70,163,116,179,170,MEDIUM RISK
103,176,58,157,125,179,170,MEDIUM RISK
104,175,51,168,130,179,170,MEDIUM RISK
105,174,33,128,135,179,171,MEDIUM RISK
106,173,23,116,138,179,174,MEDIUM RISK
107,173,139,113,140,178,177,LOW RISK
108,173,148,45,141,178,178,LOW RISK
109,174,149,5,141,179,176,LOW RISK
110,177,151,15,143,179,172,LOW RISK
111,178,155,15,143,178,172,LOW RISK
112,179,161,24,143,178,172,LOW RISK
113,179,161,27,146,178,171,LOW RISK
114,179,161,25,148,179,171,LOW RISK
115,178,163,27,152,179,172,LOW RISK
116,175,167,34,156,179,173,LOW RISK
117,170,169,46,160,178,173,LOW RISK
118,166,170,57,161,176,173,LOW RISK
119,162,171,63,162,176,174,LOW RISK
120,163,175,67,162,177,178,LOW RISK
121,166,177,72,158,178,179,LOW RISK
122,170,177,93,153,178,179,LOW RISK
123,155,176,109,151,177,179,LOW RISK
124,103,176,123,149,176,179,LOW RISK
125,59,176,126,145,174,179,MEDIUM RISK
126,57,177,137,141,173,179,MEDIUM RISK
127,70,178,146,134,171,179,MEDIUM RISK
128,88,178,152,126,170,179,MEDIUM RISK
129,124,178,155,121,170,178,LOW RISK
130,146,179,158,111,168,177,LOW RISK
131,151,179,159,101,168,176,LOW RISK
132,160,178,161,81,168,176,LOW RISK
133,167,178,163,65,169,175,LOW RISK
134,173,177,166,65,171,174,LOW RISK
135,176,176,170,64,173,173,LOW RISK
136,178,176,178,59,174,172,LOW RISK
137,179,175,177,57,174,172,LOW RISK
138,178,175,176,59,174,172,LOW RISK
139,177,175,174,61,175,171,LOW RISK
140,177,175,173,64,175,172,LOW RISK
141,177,176,172,68,175,173,LOW RISK
142,178,176,166,75,175,173,LOW RISK
143,177,175,170,80,175,173,LOW RISK
144,178,178,171,81,176,173,LOW RISK
145,178,177,166,90,177,173,LOW RISK
146,179,143,161,100,177,172,LOW RISK
147,179,82,159,112,177,172,MEDIUM RISK
148,177,89,167,120,176,173,MEDIUM RISK
149,176,83,169,126,176,174,MEDIUM RISK
150,175,81,166,130,176,177,MEDIUM RISK
151,177,32,161,132,178,178,MEDIUM RISK
152,176,20,150,132,177,174,MEDIUM RISK
153,173,70,167,133,176,172,MEDIUM RISK
154,172,98,45,129,176,166,LOW RISK
155,172,107,7,128,176,162,LOW RISK
156,167,125,10,130,173,161,LOW RISK
157,168,132,12,134,173,160,LOW RISK
158,169,138,13,138,173,160,LOW RISK
159,171,140,17,141,176,160,LOW RISK
160,174,143,4,142,178,159,LOW RISK
161,172,148,46,144,179,160,LOW RISK
162,168,152,73,148,179,162,LOW RISK
163,164,156,77,150,178,164,LOW RISK
164,153,160,107,155,178,167,LOW RISK
165,140,163,129,155,178,170,LOW RISK
166,130,165,140,155,179,172,LOW RISK
167,122,166,150,154,177,175,LOW RISK
168,126,166,155,155,179,175,LOW RISK
169,161,166,160,149,177,177,LOW RISK
170,141,166,167,141,168,176,LOW RISK
171,154,166,171,136,167,176,LOW RISK
172,141,166,166,127,169,178,LOW RISK
173,154,170,136,122,170,179,LOW RISK
174,156,172,133,110,169,179,LOW RISK
175,152,173,138,98,165,179,LOW RISK
176,159,175,131,75,170,176,LOW RISK
177,168,178,95,66,173,173,LOW RISK
179,169,173,152,27,173,178,LOW RISK
180,172,173,151,28,173,179,LOW RISK
181,173,170,151,29,174,179,LOW RISK
182,174,162,152,30,174,179,LOW RISK
183,174,158,155,33,175,177,LOW RISK
184,175,144,153,37,175,176,LOW RISK
185,175,141,150,36,175,175,LOW RISK
186,175,131,127,37,176,175,LOW RISK
187,175,96,106,50,176,174,LOW RISK
188,173,97,71,45,176,173,MEDIUM RISK
189,169,95,61,45,177,172,MEDIUM RISK
190,168,95,56,49,177,172,MEDIUM RISK
191,169,101,41,46,178,171,MEDIUM RISK
192,170,100,36,27,178,169,MEDIUM RISK
193,172,137,33,0,179,168,MEDIUM RISK
194,174,158,35,89,178,168,LOW RISK
195,176,163,33,134,176,166,LOW RISK
196,176,166,39,141,175,166,LOW RISK
197,177,166,43,150,174,165,LOW RISK
198,178,167,38,134,172,166,LOW RISK
199,178,171,42,135,171,168,LOW RISK
200,177,167,53,174,168,166,LOW RISK
201,174,171,30,177,171,163,LOW RISK
202,172,175,37,4,173,164,LOW RISK
203,168,171,39,28,174,162,LOW RISK
204,168,169,36,50,175,162,LOW RISK
205,179,168,38,61,176,163,LOW RISK
206,175,169,38,62,177,164,LOW RISK
207,175,166,36,66,179,164,LOW RISK
208,177,168,50,60,179,166,LOW RISK
211,38,10,3,173,41,44,HIGH RISK
212,152,32,133,138,133,60,HIGH RISK
